"Site","epaid","Pop","sample_id","repName","n1_sars_cov2_units","N1","N1LOD","n2_sars_cov2_units","N2","N2LOD","PMMoV","hf183_conc","Date","sample_collect_time","test_result_date","average_flow_rate","tss","ph","bod","conductivity","temperature","do","created_on","last_modified_on","lab_submitter","n1_lod","n1_loq","n2_lod","n2_loq"
"Port Washington WWTP","WI0020460","12000","802","droplet digital PCR","copies/L wastewater","8865.376","no","copies/L wastewater","6652.533333","no","18829610.45",NA,2021-01-18,"7:24","1/28/2021","1",NA,NA,NA,"2930",NA,NA,"1/28/2021 20:15","1/7/2022 13:56","UWM","3319.264","11078.219","3319.264","11078.219"
"Port Washington WWTP","WI0020460","12000","827","droplet digital PCR","copies/L wastewater","11827.504","no","copies/L wastewater","7268.768","no","10190700.69",NA,2021-01-25,"7:27","1/28/2021","1",NA,NA,NA,"2360",NA,NA,"1/28/2021 20:15","1/7/2022 13:56","UWM","3102.181","10342.939","3102.181","10342.939"
"Racine Wastewater Utility","WI0025194","139000","819","droplet digital PCR","copies/L wastewater","8333.173333","no","copies/L wastewater","6484.469333","no","6165848",NA,2021-01-24,"0:00","1/28/2021","15.89","68","7.16","101","1244","12.3",NA,"1/28/2021 20:15","1/7/2022 13:56","UWM","2773.056","9257.525","2773.056","9257.525"
"Washburn WWTP","WI0022675","2200","544867001","qPCR","Gene copies/L","15421","Yes","Gene copies/L","30958","Yes","14401613",NA,2021-01-25,"7:20","1/27/2021 10:00","0.149",NA,"7.7",NA,"880","10.8",NA,"2/3/2021 18:15","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"Peshtigo WWTF","WI0030651","4000","544887001","qPCR","Gene copies/L","23272","Yes","Gene copies/L","35748","Yes","4397675",NA,2021-01-25,"8:00","1/27/2021 10:00","0.444",NA,"7.6",NA,"887","11.7","3.8","2/3/2021 18:15","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"South Milwaukee WWTF","WI0028819","21156","813","droplet digital PCR","copies/L wastewater","14383.47733","no","copies/L wastewater","8851.370667","no","7323668.907",NA,2021-01-24,"7:00","1/28/2021","2.588",NA,NA,NA,"1172",NA,NA,"1/28/2021 20:15","1/7/2022 13:57","UWM","3319.264","11064.213","3319.264","11064.213"
"Grafton Water & Wastewater Utility","WI0020184","11400","825","droplet digital PCR","copies/L wastewater","3277.248","no","copies/L wastewater","0","yes","7291316.587",NA,2021-01-25,"7:20","1/28/2021","1.4765","226","7.6","230","2480","12.3",NA,"1/28/2021 20:15","1/7/2022 13:57","UWM","3277.248","10938.165","3277.248","10938.165"
"Waukesha WWTP","WI0029971","72549","822","droplet digital PCR","copies/L wastewater","0","yes","copies/L wastewater","1054.6016","yes","2564096.427",NA,2021-01-24,"8:00","1/28/2021","6.278","315",NA,"309","2510","4",NA,"1/28/2021 20:15","1/7/2022 13:57","UWM","3165.205","10560.021","3165.205","10560.021"
"Eau Claire WWTF","WI0023850","75000","544891001","qPCR","Gene copies/L","108990","No","Gene copies/L","133692","No","21691519",NA,2021-01-22,"6:00","1/27/2021 10:00","7.61",NA,"7.51",NA,"1237","13.5","5.29","2/3/2021 18:15","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"Wisconsin Rapids WWTF","WI0025844","20000","544893001","qPCR","Gene copies/L","50595","Yes","Gene copies/L","33389","Yes","16827800",NA,2021-01-22,"8:00","1/27/2021 10:00","2.511",NA,"6.8",NA,"1247",NA,NA,"2/3/2021 18:15","2/15/2021 15:41","SLH","64000","200000","100000","220000"
